City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kahului,US,81.66,broken clouds,20.8947,-156.47,Maui Seaside Hotel
7,Atuona,PF,78.48,clear sky,-9.8,-139.0333,Villa Enata
8,Kieta,PG,85.59,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
13,Iralaya,HN,77.29,clear sky,15.0,-83.2333,Iglesia morava renovada
25,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
27,Kuala Kedah,MY,77.0,scattered clouds,6.1,100.3,Artini Homestay
32,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
40,Rikitea,PF,78.55,clear sky,-23.1203,-134.9692,People ThankYou
42,Kapaa,US,78.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Hilo,US,76.12,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
47,Bathsheba,BB,76.71,scattered clouds,13.2167,-59.5167,Atlantis Hotel
52,Porto Novo,BJ,79.41,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
53,Hervey Bay,AU,86.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
56,Kavieng,PG,85.66,broken clouds,-2.5744,150.7967,Nusa Island Retreat
57,Chachoengsao,TH,84.67,light rain,13.6167,101.4167,บ้านเจ๊น้อยห้วยหิน
58,Puerto Ayora,EC,77.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Busselton,AU,87.04,clear sky,-33.65,115.3333,Observatory Guest House
65,Butaritari,KI,81.05,light rain,3.0707,172.7902,Isles Sunset Lodge
84,Kloulklubed,PW,77.5,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
88,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
90,Mahebourg,MU,79.25,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
91,Niamey,NE,77.14,few clouds,13.5137,2.1098,Soluxe Hotel Niamey
92,Gizo,SB,85.26,overcast clouds,-8.103,156.8419,Imagination Island
97,Pochutla,MX,81.45,clear sky,15.7432,-96.4661,Hotel Posada San Jose
99,Hobart,AU,75.02,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
102,Tiarei,PF,86.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
104,Sassandra,CI,76.95,moderate rain,4.95,-6.0833,la terrasse
107,Kuching,MY,80.82,few clouds,1.55,110.3333,Hilton Kuching
109,Luwuk,ID,81.39,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
111,Jatiroto,ID,78.82,overcast clouds,-7.8833,111.1167,Mushola Al Huda
121,Bengkulu,ID,76.69,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
126,Asuncion,PY,85.44,smoke,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
127,Yulara,AU,81.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
135,Banda Aceh,ID,81.66,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
139,Flinders,AU,76.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
149,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
