city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saskylakh,RU,2022-02-18 01:11:54,71.9167,114.0833,-23.98,93,73,8.19
1,Atuona,PF,2022-02-18 01:11:55,-9.8,-139.0333,78.69,76,4,18.86
2,Mataura,NZ,2022-02-18 01:11:55,-46.1927,168.8643,72.48,39,100,5.68
3,Ler,SS,2022-02-18 01:11:56,8.3018,30.1418,80.51,17,89,4.47
4,Diphu,IN,2022-02-18 01:11:56,25.8333,93.4333,55.26,66,2,0.76
5,Qaanaaq,GL,2022-02-18 01:11:56,77.484,-69.3632,-10.73,84,100,7.27
6,Cape Town,ZA,2022-02-18 01:11:57,-33.9258,18.4232,67.1,72,0,1.01
7,Pontianak,ID,2022-02-18 01:11:57,-0.0333,109.3333,76.98,88,20,5.75
8,Beberibe,BR,2022-02-18 01:11:57,-4.1797,-38.1306,82.44,84,0,7.72
9,Narsaq,GL,2022-02-18 01:11:58,60.9167,-46.05,0.36,75,100,8.68
10,Busselton,AU,2022-02-18 01:11:58,-33.65,115.3333,77.04,44,3,9.86
11,Chuy,UY,2022-02-18 01:11:59,-33.6971,-53.4616,67.78,83,28,7.83
12,Hailar,CN,2022-02-18 01:11:59,49.2,119.7,4.06,94,100,9.62
13,Darnah,LY,2022-02-18 01:12:00,32.767,22.6367,53.94,74,1,8.48
14,Ushuaia,AR,2022-02-18 01:12:00,-54.8,-68.3,51.46,62,75,21.85
15,Fortuna,US,2022-02-18 01:12:01,40.5982,-124.1573,55.33,77,0,10.36
16,Arraial Do Cabo,BR,2022-02-18 01:12:01,-22.9661,-42.0278,76.35,86,95,14.52
17,Bluff,NZ,2022-02-18 01:11:03,-46.6,168.3333,72.81,58,100,10.54
18,Faanui,PF,2022-02-18 01:12:02,-16.4833,-151.75,80.31,74,24,9.24
19,Tuatapere,NZ,2022-02-18 01:12:02,-46.1333,167.6833,72.82,44,100,10.22
20,Udachnyy,RU,2022-02-18 01:12:02,66.4167,112.4,-37.03,100,53,4.54
21,Toora-Khem,RU,2022-02-18 01:12:03,52.4675,96.11,-28.79,100,90,1.32
22,Mar Del Plata,AR,2022-02-18 01:09:11,-38.0023,-57.5575,65.08,76,0,11.99
23,San Patricio,US,2022-02-18 01:12:03,28.017,-97.5169,73.24,45,0,24.7
24,Rikitea,PF,2022-02-18 01:12:04,-23.1203,-134.9692,77.99,71,15,7.45
25,Campo Verde,BR,2022-02-18 01:12:04,-20.4167,-54.0667,76.21,63,92,5.59
26,Barrow,US,2022-02-18 01:10:58,71.2906,-156.7887,-9.38,70,100,3.44
27,Geraldton,AU,2022-02-18 01:12:06,-28.7667,114.6,90.01,12,12,21.85
28,Hobart,AU,2022-02-18 01:11:01,-42.8794,147.3294,66.02,49,40,21.85
29,Souillac,MU,2022-02-18 01:12:06,-20.5167,57.5167,77.36,75,100,18.23
30,Port Said,EG,2022-02-18 01:12:06,31.2565,32.2841,59.58,68,7,9.57
31,Te Anau,NZ,2022-02-18 01:12:07,-45.4167,167.7167,69.31,48,100,10.71
32,Meriden,US,2022-02-18 01:07:53,41.5382,-72.807,58.24,90,100,13.8
33,Saint-Georges,GD,2022-02-18 01:08:19,12.0564,-61.7485,77.29,73,6,13.4
34,Upernavik,GL,2022-02-18 01:12:07,72.7868,-56.1549,-25.26,96,100,6.02
35,Tasiilaq,GL,2022-02-18 01:12:08,65.6145,-37.6368,24.96,93,100,20.38
36,Leshukonskoye,RU,2022-02-18 01:12:08,64.8989,45.7622,30.0,96,100,11.65
37,Naze,JP,2022-02-18 01:12:09,28.3667,129.4833,50.05,87,100,20.56
38,Kunming,CN,2022-02-18 01:12:09,25.0389,102.7183,52.48,66,0,3.2
39,Acajutla,SV,2022-02-18 01:12:10,13.5928,-89.8275,81.81,68,10,4.94
40,Cidreira,BR,2022-02-18 01:11:14,-30.1811,-50.2056,73.29,82,0,11.3
41,Albany,US,2022-02-18 01:12:10,42.6001,-73.9662,55.62,90,100,11.99
42,Porangatu,BR,2022-02-18 01:12:11,-13.4408,-49.1486,72.27,93,78,0.96
43,Daru,PG,2022-02-18 01:12:11,-9.0763,143.2092,77.97,91,100,8.16
44,Waingapu,ID,2022-02-18 01:12:11,-9.6567,120.2641,83.26,68,57,1.88
45,Hilo,US,2022-02-18 01:13:12,19.7297,-155.09,75.79,90,100,10.36
46,Tiksi,RU,2022-02-18 01:13:12,71.6872,128.8694,-29.29,100,93,2.62
47,Castro,BR,2022-02-18 01:13:13,-24.7911,-50.0119,58.55,92,21,5.21
48,Yellowknife,CA,2022-02-18 01:13:13,62.456,-114.3525,-13.59,84,75,14.97
49,Izhma,RU,2022-02-18 01:13:13,65.0083,53.9113,23.18,91,100,11.52
50,Flinders,AU,2022-02-18 01:13:14,-34.5833,150.8552,83.17,68,2,4.0
51,Khatanga,RU,2022-02-18 01:13:14,71.9667,102.5,-34.62,99,32,3.13
52,Ust-Maya,RU,2022-02-18 01:13:14,60.4167,134.5333,-21.3,94,95,0.31
53,Don Sak,TH,2022-02-18 01:13:15,9.3168,99.6918,78.71,83,32,6.29
54,Port Blair,IN,2022-02-18 01:13:15,11.6667,92.75,75.24,100,100,2.3
55,Bredasdorp,ZA,2022-02-18 01:13:16,-34.5322,20.0403,64.27,75,28,13.13
56,Cabo San Lucas,MX,2022-02-18 01:10:09,22.8909,-109.9124,70.52,73,75,4.61
57,Lavrentiya,RU,2022-02-18 01:13:16,65.5833,-171.0,-4.9,91,100,14.88
58,Mahebourg,MU,2022-02-18 01:13:16,-20.4081,57.7,77.25,71,100,19.06
59,Omaruru,NA,2022-02-18 01:13:18,-21.4333,15.9333,73.29,46,17,6.71
60,Riyadh,SA,2022-02-18 01:13:18,24.6877,46.7219,55.54,30,14,10.49
61,Zacualpan,MX,2022-02-18 01:13:19,21.25,-105.1667,82.02,80,0,4.97
62,Isla Mujeres,MX,2022-02-18 01:13:19,21.2311,-86.731,78.17,83,0,11.97
63,Punta Arenas,CL,2022-02-18 01:13:20,-53.15,-70.9167,55.51,71,75,13.8
64,Henties Bay,NA,2022-02-18 01:13:20,-22.116,14.2845,69.85,90,59,7.67
65,Coahuayana,MX,2022-02-18 01:13:21,18.7333,-103.6833,83.68,76,0,3.56
66,Kodiak,US,2022-02-18 01:13:22,57.79,-152.4072,47.71,71,100,12.66
67,Porto Belo,BR,2022-02-18 01:13:22,-27.1578,-48.5531,71.17,89,100,6.02
68,Faya,SA,2022-02-18 01:13:23,18.3851,42.4509,52.32,81,0,4.36
69,Beira,MZ,2022-02-18 01:13:23,-19.8436,34.8389,80.15,82,100,13.76
70,Butterworth,MY,2022-02-18 01:13:24,5.3991,100.3638,82.0,85,20,1.14
71,Hofn,IS,2022-02-18 01:13:24,64.2539,-15.2082,29.59,70,91,19.8
72,Kargasok,RU,2022-02-18 01:13:24,59.0556,80.8572,15.91,95,100,8.23
73,Badlapur,IN,2022-02-18 01:13:25,19.15,73.2667,71.4,55,4,0.67
74,Kulhudhuffushi,MV,2022-02-18 01:13:25,6.6221,73.07,80.28,73,66,4.5
75,Kapaa,US,2022-02-18 01:13:26,22.0752,-159.319,80.58,68,0,12.66
76,New Norfolk,AU,2022-02-18 01:13:26,-42.7826,147.0587,65.66,47,21,4.0
77,Nouadhibou,MR,2022-02-18 01:13:27,20.931,-17.0347,66.74,58,100,12.5
78,Benguela,AO,2022-02-18 01:13:27,-12.5763,13.4055,77.85,74,100,3.06
79,Clyde River,CA,2022-02-18 01:13:27,70.4692,-68.5914,-34.38,85,91,3.38
80,Kudahuvadhoo,MV,2022-02-18 01:13:28,2.6708,72.8944,80.94,68,99,9.6
81,La Ronge,CA,2022-02-18 01:13:28,55.1001,-105.2842,2.39,96,100,7.27
82,Butaritari,KI,2022-02-18 01:13:29,3.0707,172.7902,81.66,72,8,24.05
83,Avarua,CK,2022-02-18 01:13:29,-21.2078,-159.775,80.65,83,40,10.36
84,Prince Rupert,CA,2022-02-18 01:13:29,54.3161,-130.3201,42.89,100,100,4.61
85,Bandarbeyla,SO,2022-02-18 01:13:30,9.4942,50.8122,72.61,71,0,15.59
86,Yakima,US,2022-02-18 01:12:08,46.4665,-120.6678,53.71,59,0,5.75
87,Saint-Augustin,CA,2022-02-18 01:13:30,51.226,-58.6502,33.33,99,100,8.86
88,Shache,CN,2022-02-18 01:13:31,38.4167,77.2406,29.46,51,100,5.95
89,Jamestown,US,2022-02-18 01:13:31,42.097,-79.2353,49.3,69,100,18.41
90,Chara,RU,2022-02-18 01:14:31,56.9064,118.2631,-16.89,91,84,0.83
91,Luwuk,ID,2022-02-18 01:14:32,-0.9516,122.7875,79.14,80,100,0.4
92,Jurm,AF,2022-02-18 01:14:32,36.8648,70.8342,20.91,58,100,6.91
93,Amapa,BR,2022-02-18 01:14:33,1.0,-52.0,71.55,99,100,2.95
94,Lata,PT,2022-02-18 01:14:33,40.1629,-8.3327,54.05,98,22,1.83
95,Port Elizabeth,ZA,2022-02-18 01:14:33,-33.918,25.5701,59.09,77,4,6.64
96,Oranjemund,NA,2022-02-18 01:14:34,-28.55,16.4333,64.6,80,0,5.08
97,Yabrud,SY,2022-02-18 01:14:34,33.9674,36.6574,37.06,64,7,3.94
98,Nioro,GM,2022-02-18 01:14:35,13.35,-15.75,77.5,16,55,2.01
99,Saldanha,ZA,2022-02-18 01:14:35,-33.0117,17.9442,64.54,76,0,7.2
100,Ebolowa,CM,2022-02-18 01:14:35,2.9,11.15,67.78,99,76,2.42
101,Aklavik,CA,2022-02-18 01:14:36,68.2191,-135.0107,-8.68,85,98,6.64
102,Lompoc,US,2022-02-18 01:12:53,34.6391,-120.4579,65.37,54,0,10.36
103,Puerto Ayora,EC,2022-02-18 01:14:36,-0.7393,-90.3518,75.79,87,100,6.55
104,Alofi,NU,2022-02-18 01:14:37,-19.0595,-169.9187,85.89,74,40,9.22
105,Axim,GH,2022-02-18 01:14:37,4.8699,-2.2405,79.02,89,100,8.25
106,Spencer,US,2022-02-18 01:14:37,43.1414,-95.1444,16.59,59,100,0.0
107,Guanica,PR,2022-02-18 01:14:38,17.9716,-66.908,76.91,68,0,1.01
108,Kavaratti,IN,2022-02-18 01:14:38,10.5669,72.642,80.29,66,0,9.8
109,Ambon,ID,2022-02-18 01:14:39,-3.6954,128.1814,86.14,70,40,3.44
110,Korla,CN,2022-02-18 01:14:39,41.7597,86.1469,22.8,44,50,3.83
111,Katherine,AU,2022-02-18 01:14:39,-14.4667,132.2667,86.32,66,98,3.44
112,Ahipara,NZ,2022-02-18 01:14:40,-35.1667,173.1667,74.19,53,71,3.44
113,Hambantota,LK,2022-02-18 01:14:40,6.1241,81.1185,72.21,81,98,8.55
114,Carnarvon,AU,2022-02-18 01:14:41,-24.8667,113.6333,88.2,54,100,3.85
115,Kisangani,CD,2022-02-18 01:14:41,0.5167,25.2,73.13,65,6,2.82
116,Blagodatnoye,RU,2022-02-18 01:14:42,45.3997,42.5867,29.32,78,100,6.89
117,Kununurra,AU,2022-02-18 01:14:26,-15.7667,128.7333,87.78,62,32,5.75
118,Hermanus,ZA,2022-02-18 01:14:42,-34.4187,19.2345,64.8,79,6,15.95
119,Mount Isa,AU,2022-02-18 01:14:43,-20.7333,139.5,92.97,33,2,5.75
120,Bambous Virieux,MU,2022-02-18 01:14:43,-20.3428,57.7575,77.22,70,100,19.1
121,Las Palmas,ES,2022-02-18 01:14:43,28.4204,-14.0131,57.99,88,100,9.22
122,Maniitsoq,GL,2022-02-18 01:14:44,65.4167,-52.9,-6.66,85,98,6.44
123,Kruisfontein,ZA,2022-02-18 01:14:44,-34.0033,24.7314,56.88,84,0,4.52
124,Ribeira Grande,PT,2022-02-18 01:14:44,38.5167,-28.7,51.58,65,100,27.54
125,Leningradskiy,RU,2022-02-18 01:14:45,69.3833,178.4167,-12.57,98,100,8.75
126,Nikolskoye,RU,2022-02-18 01:14:45,59.7035,30.7861,35.49,98,100,11.86
127,East London,ZA,2022-02-18 01:14:45,-33.0153,27.9116,69.22,68,97,5.5
128,Rena,NO,2022-02-18 01:14:46,61.1348,11.3641,10.81,97,93,3.47
129,Provideniya,RU,2022-02-18 01:14:46,64.3833,-173.3,10.51,61,75,24.61
130,Mount Gambier,AU,2022-02-18 01:12:03,-37.8333,140.7667,65.77,49,52,11.48
131,Sao Joao Da Barra,BR,2022-02-18 01:14:47,-21.6403,-41.0511,75.16,92,100,6.29
132,Lebu,CL,2022-02-18 01:14:48,-37.6167,-73.65,57.43,79,0,16.8
133,Tuktoyaktuk,CA,2022-02-18 01:14:48,69.4541,-133.0374,-6.77,96,100,16.13
