City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Constitucion,CL,-35.3333,-72.4167,55.33,86,0,11.9,clear sky
1,Kahului,US,20.8947,-156.47,81.66,82,56,5.01,broken clouds
2,Hermanus,ZA,-34.4187,19.2345,67.8,82,0,6.24,clear sky
3,Barrow,US,71.2906,-156.7887,-22.88,100,87,8.59,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,67.12,69,0,10.36,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,67.28,88,10,2.3,clear sky
6,Chokurdakh,RU,70.6333,147.9167,-29.38,100,26,1.99,scattered clouds
7,Atuona,PF,-9.8,-139.0333,78.48,77,8,18.57,clear sky
8,Kieta,PG,-6.2167,155.6333,85.59,68,69,4.41,broken clouds
9,Jamestown,US,42.097,-79.2353,17.1,65,0,13.8,clear sky
10,Albany,US,42.6001,-73.9662,20.75,65,6,10.13,clear sky
11,Bosaso,SO,11.2842,49.1816,70.56,78,0,2.89,clear sky
12,Tezu,IN,27.9167,96.1667,67.5,30,69,1.48,broken clouds
13,Iralaya,HN,15.0,-83.2333,77.29,81,1,11.5,clear sky
14,Vila Franca Do Campo,PT,37.7167,-25.4333,55.2,66,100,11.18,overcast clouds
15,Zhuanghe,CN,39.7008,122.9911,21.13,41,0,13.13,clear sky
16,Ushuaia,AR,-54.8,-68.3,42.46,65,75,12.66,broken clouds
17,Cacador,BR,-26.7753,-51.015,56.95,91,48,3.96,scattered clouds
18,Camana,PE,-16.6228,-72.7111,72.72,82,100,1.63,overcast clouds
19,Colares,PT,38.7992,-9.4469,54.28,61,100,24.0,overcast clouds
20,Saryg-Sep,RU,51.5,95.6,1.47,95,100,1.81,overcast clouds
21,Atbasar,KZ,51.8,68.3333,-6.61,86,1,4.03,clear sky
22,Ribeira Grande,PT,38.5167,-28.7,54.23,59,99,11.7,overcast clouds
23,Victoria,HK,22.2855,114.1577,58.95,91,100,8.99,overcast clouds
24,Makushino,RU,55.2103,67.2442,5.0,91,5,8.19,clear sky
25,Vaini,TO,-21.2,-175.2,86.16,79,20,6.91,few clouds
26,Terra Santa,BR,-2.1042,-56.4869,72.19,98,100,2.33,moderate rain
27,Kuala Kedah,MY,6.1,100.3,77.0,88,40,3.44,scattered clouds
28,Tessalit,ML,20.1986,1.0114,71.56,15,100,9.71,overcast clouds
29,East London,ZA,-33.0153,27.9116,69.96,79,68,18.59,broken clouds
